"direction","intent","slug","competitors","urls","source_slugs"
"Карты и банки","займы на карту безработным","na-kartu-bezrabotnym","brobank.ru","https://brobank.ru/zajmy/na-kartu-bezrabotnym/","na-kartu-bezrabotnym"
"Карты и банки","займы на карту быстро","na-kartu-bystro","bankiros.ru|zaym.me","https://bankiros.ru/zaymy/na-kartu-bystro|https://zaym.me/zaimi/filter-na-kartu-bystro|https://zaym.me/zaimi/filter-na-kartu-bystro/anapa|https://zaym.me/zaimi/filter-na-kartu-bystro/arxangelsk|https://zaym.me/zaimi/filter-na-kartu-bystro/arzamas|https://zaym.me/zaimi/filter-na-kartu-bystro/astrakhan|https://zaym.me/zaimi/filter-na-kartu-bystro/barnaul|https://zaym.me/zaimi/filter-na-kartu-bystro/belgorod","na-kartu-bystro"
"Карты и банки","долгосрочные займы на карту","na-kartu-dolgosrochniy","finuslugi.ru","https://finuslugi.ru/mikrozajmy/teg_na_kartu_dolgosrochniy","na-kartu-dolgosrochniy"
"Карты и банки","займы на карту другого человека","na-kartu-drugogo-cheloveka","finuslugi.ru","https://finuslugi.ru/mikrozajmy/teg_na_kartu_drugogo_cheloveka","na-kartu-drugogo-cheloveka"
"Карты и банки","экспресс-займы на карту","na-kartu-ekspress","bankiros.ru|zaym.me","https://bankiros.ru/zaymy/na-kartu-ekspress|https://zaym.me/zaimi/filter-na-kartu-ekspress|https://zaym.me/zaimi/filter-na-kartu-ekspress/anapa|https://zaym.me/zaimi/filter-na-kartu-ekspress/arxangelsk|https://zaym.me/zaimi/filter-na-kartu-ekspress/arzamas|https://zaym.me/zaimi/filter-na-kartu-ekspress/astrakhan|https://zaym.me/zaimi/filter-na-kartu-ekspress/barnaul|https://zaym.me/zaimi/filter-na-kartu-ekspress/belgorod","na-kartu-ekspress"
"Карты и банки","займы на карту круглосуточно","na-kartu-kruglosutochno","bankiros.ru|zaim.com|zaym.me","https://bankiros.ru/zaymy/na-kartu-kruglosutochno|https://zaim.com/zaymy-na-kartu-kruglosutochno/|https://zaym.me/zaimi/filter-na-kartu-kruglosutochno|https://zaym.me/zaimi/filter-na-kartu-kruglosutochno/anapa|https://zaym.me/zaimi/filter-na-kartu-kruglosutochno/arxangelsk|https://zaym.me/zaimi/filter-na-kartu-kruglosutochno/arzamas|https://zaym.me/zaimi/filter-na-kartu-kruglosutochno/astrakhan|https://zaym.me/zaimi/filter-na-kartu-kruglosutochno/barnaul","na-kartu-kruglosutochno"
"Карты и банки","займы на карту Кукуруза","na-kartu-kukuruza","brobank.ru|zaim.com","https://brobank.ru/zajmy/na-kartu-kukuruza/|https://zaim.com/zaimy-na-kartu-kukuruza/","na-kartu-kukuruza"
"Карты и банки","займы на карту Maestro","na-kartu-maestro","bankiros.ru|brobank.ru|zaim.com","https://bankiros.ru/zaymy/na-kartu-maestro|https://brobank.ru/zajmy/na-kartu-maestro/|https://zaim.com/zaimy-na-kartu-maestro/","na-kartu-maestro"
"Карты и банки","займы на карту Mastercard","na-kartu-mastercard","zaym.me","https://zaym.me/zaimi/filter-zaim-na-kartu-mastercard|https://zaym.me/zaimi/filter-zaim-na-kartu-mastercard/anapa|https://zaym.me/zaimi/filter-zaim-na-kartu-mastercard/arxangelsk|https://zaym.me/zaimi/filter-zaim-na-kartu-mastercard/arzamas|https://zaym.me/zaimi/filter-zaim-na-kartu-mastercard/astrakhan|https://zaym.me/zaimi/filter-zaim-na-kartu-mastercard/barnaul|https://zaym.me/zaimi/filter-zaim-na-kartu-mastercard/belgorod|https://zaym.me/zaimi/filter-zaim-na-kartu-mastercard/bryansk","zaim-na-kartu-mastercard"
"Карты и банки","займы на карту мгновенно","na-kartu-mgnovenno","bankiros.ru|finuslugi.ru|zaim.com|zaym.me","https://bankiros.ru/zaymy/na-kartu-mgnovenno|https://finuslugi.ru/mikrozajmy/teg_na_kartu_mgnovenno|https://zaim.com/zaymy-na-kartu-mgnovenno/|https://zaym.me/zaimi/filter-na-kartu-mgnovenno|https://zaym.me/zaimi/filter-na-kartu-mgnovenno/anapa|https://zaym.me/zaimi/filter-na-kartu-mgnovenno/arxangelsk|https://zaym.me/zaimi/filter-na-kartu-mgnovenno/arzamas|https://zaym.me/zaimi/filter-na-kartu-mgnovenno/astrakhan","na-kartu-mgnovenno"
"Карты и банки","займы на карту Мир","na-kartu-mir","bankiros.ru|brobank.ru|finuslugi.ru|zaim.com|zaym.me","https://bankiros.ru/zaymy/na-kartu-mir|https://brobank.ru/zajmy/na-kartu-mir/|https://finuslugi.ru/mikrozajmy/teg_na_kartu_mir|https://zaim.com/zaimy-na-kartu-mir/|https://zaym.me/zaimi/filter-zaim-na-kartu-mir|https://zaym.me/zaimi/filter-zaim-na-kartu-mir/anapa|https://zaym.me/zaimi/filter-zaim-na-kartu-mir/arxangelsk|https://zaym.me/zaimi/filter-zaim-na-kartu-mir/arzamas","na-kartu-mir|zaim-na-kartu-mir"
"Карты и банки","займы на карту Momentum","na-kartu-momentum","bankiros.ru|zaim.com","https://bankiros.ru/zaymy/na-kartu-momentum|https://zaim.com/zaimy-na-kartu-momentum/","na-kartu-momentum"
"Карты и банки","займы на карту на 6 месяцев","na-kartu-na-6-mesyatsev","finuslugi.ru","https://finuslugi.ru/mikrozajmy/teg_na_kartu_na_6_mesyatsev","na-kartu-na-6-mesyatsev"
"Карты и банки","займы на карту Ozon Банка","na-kartu-ozon-banka","brobank.ru","https://brobank.ru/zajmy/na-kartu-ozon-banka/","na-kartu-ozon-banka"
"Карты и банки","займы на карту по всей России","na-kartu-po-vsey-rossii","banki.ru","https://www.banki.ru/microloans/catalogue/zaymyi_na_kartu_po_vsey_rossii/","zaymyi-na-kartu-po-vsey-rossii"
"Карты и банки","займы на карту с 18 лет","na-kartu-s-18-let","zaim.com","https://zaim.com/zaymy-na-kartu-s-18-let/","na-kartu-s-18-let"
"Карты и банки","займы онлайн на карту с 18 лет","na-kartu-s-18-let-online","zaym.me","https://zaym.me/zaimi/filter-na-kartu-s-18-let-online|https://zaym.me/zaimi/filter-na-kartu-s-18-let-online/anapa|https://zaym.me/zaimi/filter-na-kartu-s-18-let-online/arxangelsk|https://zaym.me/zaimi/filter-na-kartu-s-18-let-online/arzamas|https://zaym.me/zaimi/filter-na-kartu-s-18-let-online/astrakhan|https://zaym.me/zaimi/filter-na-kartu-s-18-let-online/barnaul|https://zaym.me/zaimi/filter-na-kartu-s-18-let-online/belgorod|https://zaym.me/zaimi/filter-na-kartu-s-18-let-online/bryansk","na-kartu-s-18-let-online"
